FarmID,FarmName,OwnerName,RegionID,SizeHectares,Status
1,Farm 1,Owner 1,4,526.16,Active
2,Farm 2,Owner 2,4,329.31,Inactive
3,Farm 3,Owner 3,2,151.56,Inactive
4,Farm 4,Owner 4,4,396.44,Active
5,Farm 5,Owner 5,1,295.63,Active
6,Farm 6,Owner 6,1,346.28,Inactive
7,Farm 7,Owner 7,1,377.49,Active
8,Farm 8,Owner 8,4,409.66,Inactive
9,Farm 9,Owner 9,2,392.72,Inactive
10,Farm 10,Owner 10,1,82.75,Active
11,Farm 11,Owner 11,2,379.79,Active
12,Farm 12,Owner 12,3,292.29,Active
13,Farm 13,Owner 13,5,178.51,Active
14,Farm 14,Owner 14,4,52.53,Active
15,Farm 15,Owner 15,4,410.14,Active
16,Farm 16,Owner 16,5,597.63,Active
17,Farm 17,Owner 17,3,223.4,Active
18,Farm 18,Owner 18,5,208.97,Active
19,Farm 19,Owner 19,5,471.46,Active
20,Farm 20,Owner 20,1,515.62,Active
21,Farm 21,Owner 21,1,576.92,Inactive
22,Farm 22,Owner 22,1,167.43,Active
23,Farm 23,Owner 23,4,256.5,Inactive
24,Farm 24,Owner 24,4,280.89,Inactive
25,Farm 25,Owner 25,2,478.18,Active
26,Farm 26,Owner 26,3,97.93,Active
27,Farm 27,Owner 27,1,580.24,Active
28,Farm 28,Owner 28,2,185.51,Active
29,Farm 29,Owner 29,1,82.94,Active
30,Farm 30,Owner 30,2,425.14,Active
