YieldRecordID,FieldID,FarmID,RegionID,CropID,SeasonID,DateTimeID,AreaHectares,YieldTonnes,YieldPerHectare,MoisturePct,Grade,CreatedDate
1,410,28,2,2,1,2807,4.15,2.664,0.642,13.42,C,2025-07-05
2,192,13,5,7,1,2313,6.84,3.304,0.483,12.94,B,2025-09-18
3,81,6,1,3,1,2012,8.29,6.56,0.791,11.82,A,2025-08-28
4,92,6,1,4,2,1924,7.19,1.77,0.246,16.99,A,2025-07-18
5,338,23,4,7,2,1952,6.64,2.481,0.374,9.96,A,2025-09-27
6,440,30,2,4,2,2148,10.43,4.989,0.478,16.59,A,2025-09-30
7,270,18,5,1,2,1829,1.88,7.18,3.819,12.32,B,2025-10-15
8,333,23,4,4,1,2595,8.59,5.12,0.596,11.64,A,2025-09-27
9,162,11,2,1,3,2221,2.21,6.201,2.806,6.0,A,2025-09-12
10,72,5,1,6,3,651,0.5,1.722,3.444,6.87,A,2025-10-06
11,339,23,4,2,1,2702,8.47,1.398,0.165,13.76,A,2025-09-16
12,281,19,5,6,2,782,6.87,8.508,1.238,6.0,A,2025-07-15
13,110,7,1,3,3,1358,9.59,5.003,0.522,13.83,A,2025-08-14
14,93,6,1,2,3,2610,6.53,5.267,0.807,9.35,A,2025-08-27
15,177,12,3,4,3,1469,4.18,7.347,1.758,12.48,B,2025-08-14
16,254,17,3,4,2,2221,5.05,3.487,0.69,6.0,C,2025-10-26
17,417,29,1,7,3,1540,5.08,3.666,0.722,9.89,A,2025-10-25
18,302,20,1,5,1,191,3.53,4.576,1.296,8.25,A,2025-09-27
19,237,16,5,1,2,2861,3.32,6.531,1.967,11.08,C,2025-09-23
20,126,9,2,8,3,1310,5.4,5.388,0.998,16.31,A,2025-08-11
21,389,27,1,4,1,1321,1.82,5.118,2.812,14.68,A,2025-08-27
22,35,3,2,2,1,567,11.16,3.903,0.35,7.95,A,2025-08-13
23,141,9,2,6,2,916,8.69,10.111,1.164,14.86,A,2025-10-25
24,386,26,3,3,2,1466,8.15,4.079,0.5,12.6,A,2025-07-17
25,331,23,4,7,2,1440,3.99,3.73,0.935,16.22,A,2025-10-13
26,38,3,2,1,3,347,10.12,3.944,0.39,11.98,A,2025-10-22
27,232,16,5,6,2,1896,5.05,2.553,0.506,12.12,A,2025-09-05
28,82,6,1,5,2,516,2.81,2.618,0.932,7.17,A,2025-10-18
29,92,6,1,8,3,1368,4.24,10.182,2.401,13.66,B,2025-09-14
30,409,28,2,3,1,1667,8.27,8.816,1.066,11.99,B,2025-07-04
31,146,10,1,8,3,1707,2.69,4.303,1.6,14.38,A,2025-09-19
32,68,5,1,2,1,2880,2.2,8.615,3.916,8.32,C,2025-09-05
33,327,22,1,3,3,160,11.77,9.324,0.792,6.0,A,2025-09-21
34,172,11,2,1,3,2610,4.01,2.966,0.74,13.27,B,2025-08-20
