OperationID,FieldID,FarmID,RegionID,CropID,DateTimeID,OperationTypeID,InputMaterialID,Quantity,UnitCost,TotalCost,Operator,CreatedDate
1,236,16,5,2,2311,5,4,3.45,124.3,428.84,Team-7,2025-09-25
2,392,27,1,8,1852,1,,17.39,123.98,2156.01,Team-15,2025-10-14
3,263,18,5,2,2239,2,,5.38,116.69,627.79,Team-7,2025-10-16
4,373,26,3,3,756,1,,9.72,98.89,961.21,Team-4,2025-10-20
5,112,8,4,2,1304,4,4,8.78,48.35,424.51,Team-2,2025-08-25
6,23,2,4,1,1338,1,,14.85,122.49,1818.98,Team-12,2025-10-26
7,396,27,1,4,147,5,6,22.85,41.8,955.13,Team-1,2025-07-30
8,210,14,4,5,67,5,2,4.58,16.68,76.39,Team-10,2025-08-13
9,263,18,5,1,1377,3,6,10.81,30.98,334.89,Team-10,2025-10-02
10,148,10,1,5,236,5,6,8.5,18.77,159.54,Team-17,2025-10-15
11,293,20,1,8,441,5,5,10.11,101.19,1023.03,Team-4,2025-09-12
12,29,2,4,7,756,2,,9.44,67.61,638.24,Team-1,2025-09-17
13,97,6,1,6,323,5,2,9.58,140.92,1350.01,Team-17,2025-10-18
14,54,4,4,1,1802,2,,15.03,113.55,1706.66,Team-3,2025-08-06
15,316,22,1,1,237,2,,4.76,80.31,382.28,Team-19,2025-08-10
16,228,16,5,2,181,3,6,5.23,40.11,209.78,Team-20,2025-10-16
17,114,8,4,1,2857,5,7,2.55,11.42,29.12,Team-20,2025-10-22
18,294,20,1,4,693,4,6,8.96,52.65,471.74,Team-15,2025-10-02
19,404,28,2,8,1332,1,,9.4,135.79,1276.43,Team-7,2025-07-11
20,284,19,5,2,900,4,3,8.15,102.71,837.09,Team-6,2025-07-07
21,387,27,1,4,1992,2,,11.82,134.71,1592.27,Team-5,2025-09-12
22,410,28,2,8,2828,3,7,12.78,28.61,365.64,Team-19,2025-09-27
23,148,10,1,3,1887,2,,12.2,98.86,1206.09,Team-1,2025-10-13
24,96,6,1,5,850,2,,11.46,60.43,692.53,Team-12,2025-08-28
25,130,9,2,8,675,2,,6.51,68.7,447.24,Team-7,2025-10-15
26,104,7,1,8,1979,1,,17.25,100.29,1730.0,Team-8,2025-07-06
27,405,28,2,7,1916,4,3,4.39,34.05,149.48,Team-3,2025-09-18
28,191,13,5,2,879,4,6,14.69,132.41,1945.1,Team-19,2025-07-07
29,55,4,4,7,816,3,3,11.53,133.5,1539.26,Team-17,2025-09-05
30,65,4,4,2,1170,1,,15.43,146.07,2253.86,Team-14,2025-08-31
31,380,26,3,8,2778,4,3,7.3,108.62,792.93,Team-6,2025-10-24
32,308,21,1,2,2869,2,,3.34,75.76,253.04,Team-12,2025-07-18
33,117,8,4,3,2632,2,,3.3,50.88,167.9,Team-3,2025-09-08
34,331,23,4,8,2195,5,2,10.65,67.2,715.68,Team-17,2025-10-25
35,298,20,1,5,1908,4,3,9.59,108.79,1043.3,Team-4,2025-07-26
36,85,6,1,2,1194,2,,7.5,147.65,1107.38,Team-4,2025-07-07
37,377,26,3,6,19,2,,8.75,127.57,1116.24,Team-3,2025-09-14
38,390,27,1,7,2496,5,5,13.13,143.52,1884.42,Team-10,2025-08-18
39,62,4,4,6,1142,5,7,11.89,106.91,1271.16,Team-4,2025-10-26
40,96,6,1,5,820,2,,15.05,88.63,1333.88,Team-3,2025-07-29
41,372,26,3,3,80,2,,8.42,30.73,258.75,Team-17,2025-07-20
42,26,2,4,8,747,1,,17.78,137.4,2442.97,Team-16,2025-08-05
43,363,25,2,8,2725,4,2,9.56,149.64,1430.56,Team-1,2025-07-18
44,388,27,1,5,1913,5,5,9.46,143.58,1358.27,Team-16,2025-10-02
45,295,20,1,7,1945,5,4,17.67,73.14,1292.38,Team-8,2025-07-05
46,439,30,2,5,860,3,6,24.09,11.49,276.79,Team-19,2025-08-14
47,182,12,3,5,432,4,7,9.58,112.92,1081.77,Team-8,2025-07-18
48,65,4,4,7,2422,3,1,7.52,69.11,519.71,Team-18,2025-09-21
49,132,9,2,6,994,1,,7.24,78.55,568.7,Team-18,2025-09-27
50,165,11,2,6,2692,4,3,20.55,42.68,877.07,Team-19,2025-09-17
51,212,14,4,8,1693,3,1,16.21,125.26,2030.46,Team-10,2025-09-26
52,39,3,2,5,2265,4,2,15.93,60.33,961.06,Team-14,2025-09-30
53,159,10,1,3,1797,2,,19.84,81.3,1612.99,Team-17,2025-08-29
54,180,12,3,3,1093,5,2,11.82,41.89,495.14,Team-9,2025-08-15
55,361,25,2,2,1494,3,1,4.62,117.63,543.45,Team-11,2025-09-09
56,416,29,1,6,2439,3,5,12.9,101.6,1310.64,Team-18,2025-10-13
57,351,24,4,7,2010,4,7,18.81,75.03,1411.31,Team-2,2025-09-27
58,327,22,1,7,553,2,,6.37,77.3,492.4,Team-10,2025-08-27
59,321,22,1,2,2504,5,3,18.03,20.07,361.86,Team-13,2025-08-04
60,177,12,3,5,1218,2,,18.64,101.96,1900.53,Team-13,2025-10-14
61,301,20,1,2,136,1,,18.19,129.08,2347.97,Team-17,2025-09-09
62,405,28,2,1,2464,3,5,13.84,81.21,1123.95,Team-9,2025-09-30
63,205,14,4,8,1331,2,,8.16,128.88,1051.66,Team-3,2025-10-06
64,62,4,4,8,254,2,,19.12,67.58,1292.13,Team-20,2025-07-29
65,51,4,4,2,1761,5,6,10.98,71.41,784.08,Team-18,2025-09-03
66,266,18,5,3,2402,4,7,11.75,145.33,1707.63,Team-10,2025-08-01
67,248,17,3,8,1854,2,,25.69,108.34,2783.25,Team-1,2025-09-09
68,190,13,5,7,2709,2,,16.14,115.84,1869.66,Team-8,2025-10-06
69,31,3,2,5,1404,4,4,4.33,106.92,462.96,Team-18,2025-09-24
70,413,28,2,1,1992,5,5,9.92,132.8,1317.38,Team-5,2025-07-10
71,105,7,1,5,806,3,1,8.24,100.23,825.9,Team-13,2025-08-24
72,97,6,1,4,240,4,3,9.33,26.7,249.11,Team-18,2025-08-05
73,142,10,1,3,2363,5,3,15.37,33.56,515.82,Team-15,2025-07-10
74,394,27,1,7,2471,4,5,15.09,87.04,1313.43,Team-18,2025-09-16
75,211,14,4,4,721,5,5,13.0,119.73,1556.49,Team-17,2025-09-05
76,401,28,2,1,2663,2,,6.32,61.52,388.81,Team-14,2025-10-09
77,56,4,4,2,154,1,,14.65,69.87,1023.6,Team-13,2025-08-04
78,312,21,1,8,2494,2,,17.29,32.42,560.54,Team-14,2025-07-14
79,169,11,2,5,571,4,6,8.61,73.8,635.42,Team-14,2025-09-27
80,152,10,1,4,2388,5,4,11.35,34.96,396.8,Team-6,2025-08-29
81,122,8,4,7,91,5,2,25.15,45.02,1132.25,Team-8,2025-10-27
82,366,25,2,1,2312,2,,11.68,14.67,171.35,Team-4,2025-10-23
83,225,15,4,2,136,3,4,22.52,36.44,820.63,Team-20,2025-08-20
84,286,19,5,5,1215,5,4,14.0,87.41,1223.74,Team-16,2025-09-03
85,257,18,5,8,2728,1,,25.64,69.47,1781.21,Team-16,2025-09-22
86,259,18,5,6,2671,4,4,3.8,62.31,236.78,Team-1,2025-10-02
87,23,2,4,8,798,4,1,9.32,69.46,647.37,Team-9,2025-07-02
88,8,1,4,8,572,2,,8.77,26.45,231.97,Team-13,2025-08-06
89,116,8,4,4,2594,2,,17.74,64.18,1138.55,Team-11,2025-08-02
90,72,5,1,3,2555,1,,20.97,11.14,233.61,Team-15,2025-07-11
91,204,13,5,8,454,1,,18.67,91.59,1709.99,Team-9,2025-09-15
92,250,17,3,2,730,3,1,21.66,149.51,3238.39,Team-8,2025-07-24
93,422,29,1,3,1237,4,2,4.08,73.64,300.45,Team-5,2025-10-07
94,264,18,5,8,511,2,,19.81,127.7,2529.74,Team-18,2025-07-06
95,193,13,5,7,673,3,5,2.89,138.97,401.62,Team-12,2025-07-30
96,349,24,4,5,1155,2,,11.08,74.72,827.9,Team-16,2025-09-30
97,158,10,1,4,1243,1,,2.72,110.05,299.34,Team-10,2025-10-15
98,290,19,5,6,210,2,,13.26,142.99,1896.05,Team-1,2025-08-01
99,343,23,4,1,2167,5,3,11.03,28.95,319.32,Team-10,2025-10-03
100,61,4,4,2,1531,5,4,8.6,30.98,266.43,Team-12,2025-08-10
101,37,3,2,7,2873,2,,6.83,74.53,509.04,Team-7,2025-10-17
102,28,2,4,4,840,3,1,6.19,19.94,123.43,Team-15,2025-09-03
103,160,11,2,4,2185,2,,11.15,50.05,558.06,Team-14,2025-09-04
104,398,28,2,6,2495,4,5,7.86,15.24,119.79,Team-8,2025-07-07
105,274,19,5,7,2261,3,2,4.5,28.29,127.3,Team-3,2025-09-06
106,182,12,3,3,822,2,,4.9,20.91,102.46,Team-16,2025-07-09
107,424,29,1,2,56,2,,4.83,28.88,139.49,Team-9,2025-09-08
108,193,13,5,3,2451,3,5,15.29,26.95,412.07,Team-5,2025-07-20
109,367,26,3,7,171,4,3,5.48,94.32,516.87,Team-13,2025-07-27
110,116,8,4,4,762,2,,4.63,60.25,278.96,Team-4,2025-07-11
111,125,8,4,6,1817,3,1,6.7,20.59,137.95,Team-7,2025-07-10
112,27,2,4,2,1647,5,6,7.03,109.01,766.34,Team-12,2025-08-26
113,103,7,1,8,2462,4,7,6.16,22.16,136.51,Team-14,2025-07-17
114,182,12,3,3,546,1,,5.63,114.5,644.64,Team-17,2025-10-11
115,333,23,4,4,845,2,,15.2,12.92,196.38,Team-5,2025-07-26
116,431,30,2,4,369,5,7,16.53,17.3,285.97,Team-5,2025-07-09
117,328,23,4,7,676,4,5,11.46,147.27,1687.71,Team-16,2025-07-15
118,291,20,1,7,2522,4,3,13.73,99.84,1370.8,Team-2,2025-10-03
119,262,18,5,4,704,5,1,9.52,118.01,1123.46,Team-14,2025-07-03
120,46,3,2,7,2237,2,,9.2,28.22,259.62,Team-5,2025-09-14
121,84,6,1,7,344,5,6,4.95,119.47,591.38,Team-9,2025-08-22
122,344,23,4,7,1863,2,,10.74,137.19,1473.42,Team-11,2025-10-27
123,368,26,3,4,485,2,,21.03,110.22,2317.93,Team-13,2025-07-09
124,28,2,4,2,1064,5,5,2.44,80.06,195.35,Team-8,2025-07-07
125,41,3,2,8,2016,2,,32.63,76.51,2496.52,Team-15,2025-08-20
126,173,12,3,5,2505,5,7,10.96,18.57,203.53,Team-1,2025-07-07
127,283,19,5,3,2800,4,2,26.61,131.82,3507.73,Team-16,2025-09-20
128,256,17,3,4,2255,4,7,5.83,34.29,199.91,Team-19,2025-08-26
129,306,21,1,4,22,4,5,13.11,46.53,610.01,Team-19,2025-09-30
130,147,10,1,6,2557,3,2,21.82,28.56,623.18,Team-18,2025-07-06
131,23,2,4,4,1880,3,2,8.62,58.27,502.29,Team-9,2025-10-02
132,188,13,5,6,1262,4,2,8.69,117.07,1017.34,Team-14,2025-09-27
