IrrigationEventID,FieldID,FarmID,RegionID,IrrigationMethodID,DateTimeID,VolumeM3,DurationMinutes,EnergyKWh,SourceType,CreatedDate
1,207,14,4,4,1450,25.43,212,29.52,Canal,2025-07-03
2,427,29,1,2,54,103.1,75,0.39,Canal,2025-10-19
3,409,28,2,2,2239,96.82,166,6.29,Reservoir,2025-07-02
4,20,2,4,3,64,40.6,74,11.45,Canal,2025-07-11
5,209,14,4,4,2689,47.38,46,36.0,Borewell,2025-08-09
6,239,17,3,4,1747,55.58,104,9.83,Canal,2025-10-08
7,201,13,5,4,2847,73.62,144,19.91,Canal,2025-10-19
8,39,3,2,2,2050,79.63,83,9.98,Borewell,2025-10-09
9,144,10,1,1,2671,122.48,36,3.98,Canal,2025-10-02
10,217,15,4,2,1625,140.96,118,3.42,Reservoir,2025-09-07
11,131,9,2,2,1242,120.92,177,8.85,Borewell,2025-10-11
12,272,19,5,3,2061,35.87,178,37.31,Borewell,2025-07-13
13,193,13,5,4,1597,53.51,51,23.6,Borewell,2025-10-09
14,105,7,1,2,1238,99.89,235,8.02,Borewell,2025-08-04
15,229,16,5,1,628,67.92,149,10.93,Canal,2025-07-14
16,281,19,5,2,1738,66.91,51,12.26,Canal,2025-08-04
17,34,3,2,2,696,109.3,163,3.67,Borewell,2025-07-31
18,103,7,1,4,2715,96.6,206,40.87,Borewell,2025-08-03
19,54,4,4,3,1556,76.96,69,14.25,Borewell,2025-10-20
20,361,25,2,2,1868,85.2,62,9.45,Borewell,2025-09-02
21,247,17,3,1,1662,65.31,32,11.24,Canal,2025-07-27
22,251,17,3,1,2561,19.77,201,2.1,Borewell,2025-10-13
23,79,5,1,1,2101,69.79,118,54.86,Canal,2025-09-13
24,206,14,4,1,2828,55.12,139,23.41,Borewell,2025-09-14
25,200,13,5,4,1813,83.72,162,31.95,Canal,2025-09-13
26,32,3,2,1,1215,38.65,41,23.04,Borewell,2025-10-05
27,261,18,5,2,1467,221.97,20,11.81,Borewell,2025-08-11
28,76,5,1,1,188,41.38,121,16.6,Canal,2025-07-09
29,133,9,2,2,1459,145.58,32,23.79,Borewell,2025-08-01
30,230,16,5,1,2815,85.01,185,17.24,Canal,2025-09-20
31,168,11,2,2,591,43.43,21,9.24,Borewell,2025-09-11
32,164,11,2,3,271,8.32,182,12.46,Reservoir,2025-09-06
33,252,17,3,4,342,63.53,166,25.26,Canal,2025-08-24
34,103,7,1,1,1687,53.16,102,2.51,Canal,2025-08-15
35,45,3,2,4,2099,100.72,74,2.31,Borewell,2025-09-12
36,339,23,4,1,2311,100.99,108,31.79,Borewell,2025-07-22
37,48,4,4,3,2540,99.55,211,13.28,Borewell,2025-10-20
38,141,9,2,2,736,64.84,142,30.44,Borewell,2025-09-29
39,259,18,5,4,942,93.82,134,7.01,Borewell,2025-08-28
40,43,3,2,2,1291,74.48,76,27.4,Canal,2025-08-28
41,215,15,4,3,1502,38.5,63,7.41,Borewell,2025-07-16
42,111,8,4,4,2731,107.72,64,37.48,Canal,2025-09-17
43,265,18,5,1,259,147.14,91,27.8,Canal,2025-08-21
