PestIncidentID,FieldID,FarmID,RegionID,CropID,PestID,SeverityID,DateTimeID,AreaAffectedHectares,ActionTakenID,FollowUpRequired,CreatedDate
1,216,15,4,3,4,2,2677,2.93,3,0,2025-07-14
2,313,21,1,8,2,1,679,0.29,1,0,2025-09-15
3,183,12,3,6,1,4,74,1.52,2,1,2025-09-28
4,256,17,3,7,3,3,242,1.18,1,0,2025-07-24
5,52,4,4,4,3,3,1190,3.99,1,0,2025-09-30
6,366,25,2,3,3,4,1979,0.66,4,1,2025-07-08
7,13,1,4,2,4,4,2265,0.61,3,0,2025-08-19
8,128,9,2,8,1,2,1188,4.72,1,0,2025-08-22
9,352,24,4,4,4,3,365,4.08,1,0,2025-08-17
10,63,4,4,5,1,3,1370,4.92,4,1,2025-08-10
11,39,3,2,2,1,3,508,1.74,4,0,2025-09-01
12,13,1,4,2,1,1,548,4.74,1,0,2025-07-31
13,76,5,1,8,1,4,691,3.62,3,0,2025-10-23
14,20,2,4,6,3,2,1354,1.11,1,1,2025-09-21
15,339,23,4,4,1,3,2330,4.0,4,1,2025-07-12
16,308,21,1,1,1,4,2170,3.27,3,1,2025-10-24
17,192,13,5,6,4,1,1974,2.28,4,0,2025-08-31
18,77,5,1,4,3,3,521,2.32,3,1,2025-08-23
19,52,4,4,2,3,1,1691,4.93,1,1,2025-09-21
20,234,16,5,7,3,2,2040,3.22,3,0,2025-09-05
21,228,16,5,2,4,4,52,4.42,3,1,2025-08-13
22,57,4,4,8,2,4,2087,1.56,3,0,2025-09-10
23,368,26,3,8,2,2,2163,2.1,4,1,2025-08-11
24,443,30,2,4,2,4,2250,4.26,3,0,2025-07-18
25,304,20,1,5,3,3,1150,2.9,4,1,2025-09-27
26,297,20,1,2,1,4,174,0.14,2,0,2025-10-11
27,41,3,2,5,1,1,1564,1.58,2,0,2025-10-08
28,168,11,2,1,3,2,1610,2.38,4,1,2025-08-07
29,56,4,4,8,4,3,368,1.15,1,0,2025-07-13
