SoilReadingID,SensorID,FieldID,FarmID,RegionID,DateTimeID,MoisturePct,TemperatureC,EC_dS_m,NPKIndex,BatteryPct,CreatedDate
1,218,14,1,4,74,33.63,20.22,2.385,48.65,94.17,2025-09-07
2,177,23,2,4,2169,16.47,24.71,1.274,38.49,30.82,2025-10-18
3,282,309,21,1,944,27.93,23.94,0.627,38.11,83.85,2025-08-05
4,240,296,20,1,734,29.95,16.16,1.331,62.36,79.52,2025-07-30
5,164,3,1,4,2394,24.55,39.97,0.942,66.89,69.06,2025-10-28
6,145,83,6,1,57,22.64,35.55,0.964,62.48,95.1,2025-09-18
7,251,123,8,4,1959,31.88,24.67,0.932,91.6,81.46,2025-10-10
8,81,170,11,2,957,25.64,18.29,0.504,57.89,57.91,2025-07-29
9,13,159,10,1,1539,19.19,23.88,1.085,50.89,49.51,2025-08-13
10,121,50,4,4,1842,33.64,25.3,0.438,41.15,60.38,2025-07-12
11,168,26,2,4,2023,16.17,23.43,1.004,92.45,36.17,2025-10-12
12,231,340,23,4,1477,18.5,24.38,2.449,25.7,83.02,2025-08-12
13,40,360,25,2,1663,20.77,18.79,2.403,46.54,36.98,2025-09-05
14,8,384,26,3,2058,21.87,14.23,0.764,30.28,88.54,2025-08-01
15,280,403,28,2,610,19.7,15.74,0.208,60.94,61.06,2025-08-23
16,153,266,18,5,860,17.68,15.22,1.413,44.78,94.78,2025-07-30
17,59,217,15,4,2858,16.5,16.13,0.899,70.68,35.07,2025-07-18
18,65,22,2,4,1394,23.32,29.61,0.37,63.26,86.48,2025-08-07
19,62,154,10,1,1482,16.76,17.19,1.003,46.2,49.61,2025-08-13
20,15,238,16,5,2629,13.82,17.0,2.012,51.8,43.11,2025-10-12
21,244,369,26,3,2425,18.2,29.01,1.305,56.96,92.06,2025-08-07
22,198,318,22,1,193,12.63,21.4,0.851,54.47,35.86,2025-07-20
23,147,135,9,2,334,28.98,23.64,0.97,43.54,59.32,2025-10-04
24,100,42,3,2,2167,37.32,21.58,0.524,56.0,50.85,2025-08-21
25,273,60,4,4,374,25.15,17.91,0.568,46.13,96.37,2025-10-03
